phraseNo.,phrase,isHateSpeech
323,Waati edukrnl huththo Training thookm nadula nonbu pudikirai thorakurai aprm prayers 😂, No
324,Dafaq dude 😂😂 Im at work huththo, No
325,Thread eke mula kiyawapang huththo😂, No
326,Siraa huththo😂, No
327,Origi dammala gahuwe huththo👿👿😤, Yes
328,Ammboooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo menna huththo teams balaganin TeamWetakolu mata baa deiyane D D, No
329,iwarai huththo TeamAanamalu, No
330,tahike maragena marenawa huththo TeamAanamalu👿😤, Yes
331,thawa winadi 15 huththo TeamAnamaalu😅😅😅, No
332,😅😅thathparayata tahikenna tweet huththo TeamAanamalu, No
333,530 ta iwarai lu huththo TeamAanamalu, No
334,un ahnawa thota monada huththo wela thiyenne kiyala😤, Yes
335,hake huththo angili, No
336,aadarei huththo okkotma, No
337,warenko huththo, No
338,bota track da huththo, Yes
339,monada huththo jeewithe gena kiyanne, No
340,chandani lu huththo bathiya😅😅😅, No
341,twitter kiyanne aye supirima thanak huththo, No
342,track da huththo, No
343,ehema thamai huththo team sprite eka🖕🖕🖕🖕, Yes
344,athal huththo meak, No
345,kawda huththo numbers tweet kare🖕, Yes
346,hari winoday huththo, No
347,Thopi huththo hemadama anduwa vivechana karakara hitapiyau thope 3nath helenawa😑😑😑😑😑, Yes
348,Boru kiyanna epa huththo Nidaganna dipiye huththo🖕, Yes
349,😑😑😑😑😑, No
350,Ane gon huththo Thoge ammata hukanne🖕🖕🖕, Yes
351,Danda kiyanne Kapala iwarai huththo😤😤😤😤😤😤😤😤, Yes
352,eken muslims keeyadha kiyala kiyapan huththo, No
353,uba eka kiyannepa huththo, No
354,uba karapu jaraa vede api dhekka🤢🤮, Yes
355,mechchara kaalayak ipi uba gena hithuwe veradhi vidhihata, No
356,uba jaathibedha awussana moosalayek😤😤🖕🖕🖕, Yes
357,Aney pala huththo🖕🖕🖕, Yes
358,Huththo poddak eliyata bahapang, No
359,lmao civilized 😂😂😂 ane hukahan huththo, Yes
360,Ammata hukanda huththo🖕, Yes
361,Thambi keri huththo
362,Rata harak c news huththo 48 kma rata case dont mislead people without giving proper details, No
363,Kollo Gahanna na huththo😂😂😂, No
364,Badala huththo 😂, No
365,Huththo mn baya una😂, No
366,Phone illaye huththo, No
367,Pala huththo thopila topilata neveida salli hamba karaganne😡😡, Yes
368,iraj ponnaya ata pitin gahalada uge Amma rajapaksha ta hukanna dilada huththo me welawe me wage post danne😡😡😤😤🖕🖕🖕, Yes
369,But China okay ane huththo, No
370,What the fuck 😤😤 is wrong with these Kandy spectators at Pallekale, Yes
371,Mokada huththo nawatnne natuwa hu kiyanne😂, No
372,I knew he would but thanks for ruining it huththo 😂😂😂 Was waiting for the torrent
373,Hay gon Ranja we know that redde rena Harin sucked Ranil to get you out to please the Catholic Mafia🤢🤮😤🖕, Yes
374,If U say a word against Buddhism or Buddh monks well make U eat Ur own shit again you puk haarana vesige putha😡😡🖕🖕, Yes
375,ඔය පුතා vesige putha නිසා කැම්පස් දාල ගිය උන් කීදෙනෙක් ඉන්නවද🖕🖕, Yes
376,Kari thatta vesige putha🖕🖕 Gota ta puka deepu kariya ammata hukanawa umbage sellama apita pennana Eppa🖕🖕🖕🖕, Yes
377,Yapa Abeywardena sakkili vesige putha😡😤😤🖕, Yes
378,Hutho😡😡😤 resign karala yanna pakaya para vesige putha, Yes
379,Vesige putha😡😤 where are you, Yes
380,Sakkili vesige putha😠😠😤😤, Yes
381,palayan ponna vesige putha🖕🖕🖕, Yes
382,VESA ponnya maina patiya Oya satake aran Danwa belle wala vesige putha🤬🤬🖕🖕, Yes
383,Palayan vesige putha ikmanata walata Panuwo gahala🤬🤬, Yes
384,Ane hukanethuwa palayan ponaya uba thama rata kewe keri vesige putha😡😤😡😤, Yes
385,ponnaya 🤣 Vesige putha, Yes
386,Ammata hukanna kari ponna vesige putha  Kari Gota🖕🤬, Yes
387,Ammata hukahan kari thambi vesige putha🖕🖕🤬🖕🤬, Yes
388,Ado 🤮😤🖕🤬 vesige putha puke arilla puttuvak thaganna vesige putha, Yes
389,Pakaya puke arilla ukkanna umbage ammalata ukkanna vesige putha🍆🍑🖕🖕🖕🖕, Yes
390,huthyge putha para kelly pata uththy vesige maiya ge putha veru sunni sappa figure uuuuuuuuu🖕, Yes
391,Ado keri vesige putha Umba katawahanda huhtho🤬🖕, Yes
392,Akila wagay ponnayak may rata baraganna Pukata gahala elawannay Kari ponnaya🤮😤🖕, Yes
393,Master laye ithulaam vanthuruchu da appo yenga unga amma va mba ponnaya😤🖕, Yes
394,Jr ponnaya ada rata indiawata baara dunna jvp aka nathnan rata ivarai, Yes
395,Aduthavan ponna love ponama sontha ponnaya da love panuvanga kena, No
396,ammo ponnaya 😂😂😂😂😂 ubata puke arala athi okkoma naaki yage fans🤮🖕, Yes
397,Rajini uncle nu sona ponnaya rajini thadavunuthelam iruku bro angutu poi katharunga😌  History venuma history iruku, No
398,Puka nodi hitapan ponnaya🍑🖕🖕, Yes
399,Indha ponnaya da veliya anupuninga Super ah purinchukita parunga  ❤️, No
400,Ado uththige putha  💩👺 arayata lankawe mokak ari job ekak oyana berida masata 20000 k wath gedara denna puluwan nikan moda ponnaya wage keli liyanna epa kavi wesike Putha🖕🖕, Yes
401,Ana wesige putho ahinsaka minussu mrla bomba ghala thawa enawa kariya baba wenna🖕🏽Fuck off hutto nikn, Yes
402,🤮😤🖕Wesiyekta jathaka wechcha ponnaya, Yes
403,Churchil bitchesine pull cheyyan ponnaya bro🤣, No
404,ME MINISSUNTATH DARUWO INNAWA THUPPAHI PONNAYA🤬🖕🤬, Yes
405,Dai pepunda naaye olunka pesuda ponnaya jan 11 paaru yaaru adikjra ndu vassool, No
406,iya ponnaya tho maha pachayekne 🤣🤣🤣 ubalage amma ajith ge gedara wada karanne ajith ubalage ammata thawa lamayek dila bade 🍆🍑🖕, Yes
407,Gon Ponnaya Thama puka denawa ne Hati balapanko thoge mune…🍆🍑 badala da  Granige katha balanna asai amuthu saththu 😂, Yes
408,putha ajith ponnaya ajith ponnaya 🤣🤣🤣🤣🤣🤣😂😂😂 ubalage amma ajith gen katata gaththada🍆🖕 ochchara haminenne, Yes
409,Mokakda ponnaya injection walata meke thiyena adalathwe Tho trump ge puka🍑🍑🍑 lewakana gotukola ponnayek neda atta kiapiya🤣, Yes
410,Rata winasa karapu me wage ewun gena katha karapan ponnaya kohewath yana podi kellonta baninne nathuwa hikanala🖕🤬🖕🤬, Yes
411,Wadak balaganin ponnaya, Yes
412,Kanna karanne nathuwa Itpn uba ghin uba Amma ge husband Kawda kiyala balapan ponnaya🖕🤬🖕, Yes
413,huththige marakkalayo ubata ki sarayak kiuwada sri lanka is Thalapathy vijay fort  uba inna adress eka kiyapan hoyan awith puke arinawa🍆🍑🖕, Yes
414,ammage huththa thamai Muslim ponnaya 🍆🍑😂🤣, Yes
415,ubage ammage huththa thamai ponnaya thala ge puka lowana wesige putha palayan huththuge putho thopi lankaweda🤬🍆🍑🖕, Yes
416,Unga amma kitta kekanu ponnaya vazhathu vachu irukeenga, No
417,Ponnaya okata pukata petrol dala arinna ona😝😝😝🤬, Yes
418,ME THUPPAHI MEEHARAK BOORU PONNAYA GEDARA GAANITA KOHOMA ADDASounds like youre the ponnaya, Yes
419,Ranil ponnaya puka deela deela jayagaththa🍆🍑🍆🍑, Yes
420,Paan kiyada  Dan sapada  Ranil ponnaya hondadaKari naaki ponnaya🖕🤬 ranil, Yes
421,Hon 😂  needs to be “patta ponnaya” , Yes
422,You were in power from 2015 you were part of foot note mafia protecting your old boss RW amp his CB robber AM where were your guts then You are a fake traitor NGO mafia king a kalucoat ponnayaAre you still in UK ponnaya, No
423,Hadena ekek nemei oka ponnaya🖕🤬, Yes
424,Get a life ponnaya, Yes
425,REAL PONNAYA🖕, Yes
426,ponnaya🖕🤬, Yes
427,You mean Ponnaya, No
428,Dan Ranil wa janadhipathi karala oya naaki ponnaya karannay Andare ge wada nowayda, Yes
429,honde wade ponnaya😂😂😂😂, No
430,Ponnaya ta gahanda thibbe chu yanda🖕🤬, Yes
431,Ponnaya went to see ponniyan selvan, No
432,Umbala wage ponna sinhalayo hinda thamai 77 indala rata maka be wela umbe puka gini aragena prabakaran gahanakoto umbala choo nevei goo katen giyaahapan amma papa gen ithiasesinhala ponnaya rata kaladen shapade  aragalaya dinnade  binthane tama palayang thuppahi😡😤😤🖕🖕🖕, Yes
433,Sir indha bb half edited panitaen Twitter la video iruku parunga asal said unoum illatava gp said en ponnaya serupala adipaen have been edited, No
434,I added ponnaya too🙂, No
435,Huththige putha, Yes
436,Ponnaya😡, Yes
437,Pakaya, Yes
438,Intha problem start aanathe Vikraman ta Then GPM aduthavaga ponnaya apadipenu sonnaru Avar ponna thana Avaru padikathavaru Athuvum  village side la  Athuvum 45 Aaluku epad ithu ellam theriyum Avaru valarntha vitham apad, No
439,Hey Sajeewa Ponnaya Ponnaya You are Black monkey You were born in Monkey cage at Dehiwala Zoo🤢🤮😤🖕, Yes
440,Tevin St Peter s Ponnaya and Other girls are Prostitutes, Yes
441,Aasai bayai ponnaya newei BAIYYANHE PONNAYAS😤🖕, Yes
442,How things have turned 360 the same Bai🌷 Tobai☎️bigoted JVP Peeping toms calling there own that Ponnaya term on their own way toHow things have turned 360 the same Bai🌷 Tobai☎️bigoted JVP Peeping toms calling there own that Ponnaya term on their own way toYow intha ponnaya😬😬😬ponnaya thoge thaththa ponnaya 💩, Yes
443,ponnaya thoge thaththa ponnaya 💩💩💩💩 maka bawiyan nakiya, Yes
444,Sariyaa paarunkadaa route viddathu paiyanayaa ponnaya nu😂😂, No
445,May ponnaya ta dei chandey warenko ahagena gedarata kossa kedenna gahanne thadi oora  Permuna nemei oi thopila pasubata thamai wenne sir ge gennige redda allagena  Hotuwa Kimbula🤢🖕, Yes
446,stop taking our country as a joke yako Take your family and leave our country make sure to declare your assets at immigration too ponnaya, No
447,Athuku nu aayiram ponnaya kalyanam panna mudiyum😌, No
448,So that means the Impotent Me Bean lied to the parliament Ponnaya, No
449,Then this means the Ponnaya told a lie again, No
450,Ubt kwnnm lagadim ponnaya idpnko😤🖕, Yes
451,mmkum en clg ponnungale athuku examples tha nalla kili madri irunthaluka nalla saptu 2 years la morathu kunda agitaluka 🫤 intha ponnaya veratunomndra alavuku mariduchunga, No
452,Plyn ponnaya🖕, Yes
453,JUSTIN THOGE AMMATA HOOOOOOO MEEHARAK BOORU PONNAYA😡😡, Yes
454,Munm lagadim kanwa kari ponnaya, Yes
455,THUPPAHI JUSTIN THOGE AMMATA HOOOOOOO APPE SINHALA BUDDHIST MONKSLATA APAHAASA KARANNA THO KAWUDA THUPPAHI PAHARA PONNAYA😡😡😡😡, Yes
456,THUPPAHI MEEHARAK BOORU PONNAYA  RANIL PRESIDENT KALETH RAJAPAKSHALA😤😡😡🖕, Yes
457,No no no Maybe 20 of men in Sri Lanka are heterosexual virgins at marriage baduwak gahuwa is a musthave badge of honour by age 25 if not you are considered impotent or termed a derogatory ponnaya But the woman you marry must be a virgin if not motherinlaw will 👎, No
458,Umbe Amma gen ahanna go labba kollo umbe thattha kallathoniyek de kiyala ponnaya🖕🖕🖕🖕, Yes 
459,Ponnaya tournament, No
460,Ranil ponnaya🖕, Yes
461,Unga ponnaya, No
462,Kari ponnaya ammata hukanna current kapana eka nawaththapan disel hama shed ekatama dipan barinam gedara gihin ube ammata hukapan kari gothaya🖕🖕, Yes
463,Twitter la irukka ponnaya, No
464,Good project ♥️🔥, No
465,inda ponnaya yavadhu uttu vaida Elumba💀🦴Ponnaya kalyanam panirukkanumnu soldringala, No
466,Maha ponnaya apiw block krla, Yes
467,Jacko pukko redda ussala balapang bole watila napunsaka ponnaya🤬🍆🍑🖕, Yes
468,Adhu sari sontha ponnaya kattikitta Soriyaar gumbaal daane ellam okkay, No
469,Gon ponnaya😂, Yes
470,Vo Church wala Ponnaya kon hai  Dharam seekha raha tha Pappu ko 😆, Yes
471,Why did he have a special meeting with George Ponnaya You knew the kind of venom Ponnaya spewed on Hinduism and Nadars in particular People cannot forget all that Ponnaya said He is out on bail, No
472,Palayan ponnaya yanna🤬🖕, Yes
473,Asai ne Ponnaya, No
474,இடது கையில் Dk வாட்ச்வலது கையில் comun match soniya  ஷீ Jponnaya பேண்ட் amp pup huggies போதுமா மங்கீஸ்🤣🤣🤣, No
475,Actually we have to thank George ponnaya 😂😂😂, No
476,Yes it went viral George Ponnaya is so poisonous even DMK had to arrest him, No
477,If you are doing Bharat jodo and can meet a George Ponnaya why not join a Bharat jodo under the leadership of the PM and include BJP too which surely represents some 40  of voters, No
478,Truth is you cannot do it because your jodo yatra is essentially an antimodi antihindu yatra, No
479,Pastor George Ponnaya is 11350000000 Indians Our country is a democratic civilised one You also join BharatJodoYatra amp explore India with 3500 Kms walking You will find many among 140 crores indians who are not similar Diversity is our potential amp unity our strength, No
480,Where did you crawl out from ponnaya🖕, Yes
481,Heres RahulGandhi gloating with pastor George ponnaya who said their clan wear footwear so as not to soil their feet by walking over Bharath mathaaGeorge ponnaya kanhaya and many more he is on Bharat jodo program  Hypocrisy at its best👌, No
482,Sir u want yo under stand one thing gorge ponnaya why he want to about our god he can praise jesus as much he want but y he want to hurt our sentiment, No
483,Translate this Rahul George ponnaya vdo in every Indian language and take it to the nook and corner of Bharath, No
484,Meeting with George ponnaya is an unwanted nail in the schedule, No
485,ane hukapan kari ponnaya rata kala enawa tawa desana denna🤬🍑🖕, Yes
486,Ado Palayan ponnaya 😂, No
487,ane nikan boru show noda idpan ponnaya, Yes
488,Oh the ponnaya is back, No
489,Zoo will be a ideal place to provide refuge as the security arrangement there is very good We have lions  tigers leopards elephants So no issues, No
490,Moda ponnaya😂🤣😂🖕, Yes
491,uba hukapn ponnaya🤬🖕, Yes
492,pallayang ponnaya😂😂, No
493,Varusum full ahh padathukuu mattum thannn ponnaya daa apo nee school kuu pogalaa appudithanaaThe Non english comment on an internationalenglish YouTube video starter pack, No
494,Photo credit to Ponnaya, No
495,starterpackmemes starterpack starterpackmeme starterpacksNodakin ponnaya, No
496,I guess calling someone ponnaya is an insult in the FSP  JVP  NPP jargonSame supporters called Ponnaya and ButterflyAne ponnaya You buggers dont need to be overthrown you will just self destruct and do not need any help, No
497,Anthony Taylor Ponnaya CheTot, No
498,3 years  Sad Ur my friend and dont know my age lmfao And ponnaya tho celebrity da Why did u unfollow me, No
499,The mentality of the aragalaya protestors His first insult and what he thinks is derogatory is ponnaya great going, No
500,Ponnaya Aragalaya made life possible brining in reform That’s what rid the Rajapakse’s from the country Not your pathetic tweets We still have to rid the rest of the corrupt politicians Who will do that You, No
501,huka gannin ponnaya🤬🖕🤬🖕, Yes
502,oba ponnaya ubai buka ta bothlyk thsmi arinni magi mei gold rat not going behind pinpiyo, No
503,gtDespite all hardships she triumphed, No 
504,ponnaya you and your chromosomeless family caused all the hardships, No
505,Thats the reason that ponnaya Ali Sabry was given the foreign ministry post so that the bugger can graduate in arse kissing the Rajapakses, No
506,ponnaya huka gani urikata ballo 🤬🖕 thota ura mus Send you a pork devil amma wasi neda para demalaharak mas ewannm kapn Dont play around with a Muslim name I know your real name, Yes
507,Ponnaya palayang👎👎, Yes
508,Thoge  Pxxyiya   kapals daana ona, No
509,Keri kota ponnaya🍑🖕🖕, Yes
510,Mun wage ponnaya tamai aragala keruwe😂 Iskole yana kaale bayata kellange gawun asse ringan hitiya🍑🖕 un aragala kaarayo wunama munwa tamai hadenne, Yes
511,Namalta kiyala hukaaganin ponnaya🤬🖕🤬🖕, Yes
512,dan balan idapn ranil rata hadawi danatama uge plans pennala iwari gay ponnaya 🖕🤬, Yes
513,ane palayan huththo yannaAmmo huththo ukbe arthika widyawa😂🤣😂,NO
514,Thaama inne ekata huththo 🖤,NO
515,Huththo entire world knows that only Naththan IMF yanne pol gaannada😂😂😂,NO
516,ithin huththo man sinhala naluwonta kamathi na 😂😂😂😂😂😂 lankawe ranjan wage thamai ubaleg surya kota  dennama ponnayo 😂😂 balapanko uge kota eka film ekak tiyanawada suryata 200cr 😂, YES
517,huththo indian movies walin vijage ewa thamai lanakwe wadima collect karala tiyenne top 20 wath na surya ge ekak 🤣🤣🤣,NO
518,uba  kohomada huththo mata hukawanne  🤣🤣🤣🤣😂😂 demala ponnaya surya kota okata kohenda huththo payiyak  jyothika ta danennewath nathuwa athi suryage payiya 😂😂 ubalage gedara awilla hukawala  yanne pakayata koheda huththo uba, YES
519,lankawe da uba suryata koheda huththo lanakwe fans la 😂 sri lanka is Thalapathy vijay fort  🔥🔥🔥,NO
520,kullan suru ammata hukapan wasige putha uba lankaweda apith lankawe huththo apinam oya kotata kamathi na u maha ponnayek😂😂😂😂 kullans crying becoze vijay become adopted son of telugu 😌, YES
521,Happy Birthday huththo,NO
522,ammo huththo ube ajitha wagemai huththige putha 😂😂😂😂😂😂 iya huththo naakiyata puka dena kari ponnaya,YES
523,pala huththo yanna🖕🖕🖕,YES
524,Pissude huththo🖕,YES
525,Aneh palleyang yanna huththo🖕👋🖕,YES
526,Ko huththo🤔🤔🤔 ,NO
527,Huththo,YES
528,Huththo😂😂😂,NO
529,Ane huththo🖕,YES
530,Ane huththo 😂😂😂😂,NO
531,Abe huththo,NO
532,HUTHTHO 😭,NO
533,Dinna huththo🏆🏆🏆,NO
534,KO HUTHTHO UPDATE EKA 😤😤😤,NO
535,💯 huththo Ajith ta 10 🤣😂,NO
536,Huththo mee🤣🤣🤣,NO
537,Mamath lankave huththothoge kate semma 🍆💦ari mage thathta avothvesige puthobalagena hitapan kariyo🖕🖕🖕 ,YES
538,Sirawata huththo 🤔,NO
539, Good bye huththo 💭❤️‍🔥,NO
540, Sorry huththo😔🥺☹️,NO
541, 



































